rel_path,strate,chapitre_numero,chapitre_titre,type_document,orig_size,new_size,gain_pct,orig_pages,new_pages,orig_words,new_words,status,note
01 - Activités Numériques/Chap 01 - Nombres décimaux arithmétiques/01 - Cours/Cours - Chap 01 - Nombres décimaux arithmétiques.pdf,Numérique,01,Nombres décimaux arithmétiques,Cours,160174,59631,62.8,5,5,1447,1447,OK,
01 - Activités Numériques/Chap 01 - Nombres décimaux arithmétiques/01 - Cours/Méthodes - Chap 01 - Nombres décimaux arithmétiques.pdf,Numérique,01,Nombres décimaux arithmétiques,Méthodes,148411,47877,67.7,3,3,970,970,OK,
01 - Activités Numériques/Chap 01 - Nombres décimaux arithmétiques/02 - Exercices/Exercices - Chap 01 - Nombres décimaux arithmétiques.pdf,Numérique,01,Nombres décimaux arithmétiques,Exercices,123936,39048,68.5,3,3,578,578,OK,
01 - Activités Numériques/Chap 01 - Nombres décimaux arithmétiques/03 - Corrections/Corrigé - Chap 01 - Nombres décimaux arithmétiques.pdf,Numérique,01,Nombres décimaux arithmétiques,Corrigé,137868,50847,63.1,4,4,1171,1171,OK,
01 - Activités Numériques/Chap 01 - Nombres décimaux arithmétiques/04 - Révisions/Révision - Chap 01 - Nombres décimaux arithmétiques.pdf,Numérique,01,Nombres décimaux arithmétiques,Révision,152079,44370,70.8,2,2,674,674,OK,
01 - Activités Numériques/Chap 02 - Addition des nombres décimaux arithmétiques/01 - Cours/Cours - Chap 02 - Addition des nombres décimaux arithmétiques.pdf,Numérique,02,Addition des nombres décimaux arithmétiques,Cours,175269,52615,70.0,4,4,895,895,OK,
01 - Activités Numériques/Chap 02 - Addition des nombres décimaux arithmétiques/02 - Exercices/Exercices - Chap 02 - Addition des nombres décimaux arithmétiques.pdf,Numérique,02,Addition des nombres décimaux arithmétiques,Exercices,119320,35176,70.5,2,2,501,501,OK,
01 - Activités Numériques/Chap 02 - Addition des nombres décimaux arithmétiques/03 - Corrections/Corrigé - Chap 02 - Addition des nombres décimaux arithmétiques.pdf,Numérique,02,Addition des nombres décimaux arithmétiques,Corrigé,142559,49222,65.5,4,4,1046,1046,OK,
01 - Activités Numériques/Chap 02 - Addition des nombres décimaux arithmétiques/04 - Révisions/Révision - Chap 02 - Addition des nombres décimaux arithmétiques.pdf,Numérique,02,Addition des nombres décimaux arithmétiques,Révision,130751,42837,67.2,2,2,661,661,OK,
01 - Activités Numériques/Chap 03 - Soustraction des nombres décimaux arithmétiques/01 - Cours/Cours - Chap 03 - Soustraction des nombres décimaux arithmétiques.pdf,Numérique,03,Soustraction des nombres décimaux arithmétiques,Cours,191751,58663,69.4,4,4,973,973,OK,
01 - Activités Numériques/Chap 03 - Soustraction des nombres décimaux arithmétiques/02 - Exercices/Exercices - Chap 03 - Soustraction des nombres décimaux arithmétiques.pdf,Numérique,03,Soustraction des nombres décimaux arithmétiques,Exercices,131236,38584,70.6,2,2,457,457,OK,
01 - Activités Numériques/Chap 03 - Soustraction des nombres décimaux arithmétiques/03 - Corrections/Corrigé - Chap 03 - Soustraction des nombres décimaux arithmétiques.pdf,Numérique,03,Soustraction des nombres décimaux arithmétiques,Corrigé,152427,53167,65.1,4,4,1000,1000,OK,
01 - Activités Numériques/Chap 03 - Soustraction des nombres décimaux arithmétiques/04 - Révisions/Révision - Chap 03 - Soustraction des nombres décimaux arithmétiques.pdf,Numérique,03,Soustraction des nombres décimaux arithmétiques,Révision,157706,47797,69.7,2,2,719,719,OK,
01 - Activités Numériques/Chap 04 - Rangement des nombres décimaux arithmétiques/01 - Cours/Cours - Chap 04 - Rangement des nombres décimaux arithmétiques.pdf,Numérique,04,Rangement des nombres décimaux arithmétiques,Cours,127250,42465,66.6,3,3,848,848,OK,
01 - Activités Numériques/Chap 04 - Rangement des nombres décimaux arithmétiques/02 - Exercices/Exercices - Chap 04 - Rangement des nombres décimaux arithmétiques.pdf,Numérique,04,Rangement des nombres décimaux arithmétiques,Exercices,124920,38423,69.2,2,2,480,480,OK,
01 - Activités Numériques/Chap 04 - Rangement des nombres décimaux arithmétiques/03 - Corrections/Corrigé - Chap 04 - Rangement des nombres décimaux arithmétiques.pdf,Numérique,04,Rangement des nombres décimaux arithmétiques,Corrigé,137752,49893,63.8,4,4,1004,1004,OK,
01 - Activités Numériques/Chap 04 - Rangement des nombres décimaux arithmétiques/04 - Révisions/Révision - Chap 04 - Rangement des nombres décimaux arithmétiques.pdf,Numérique,04,Rangement des nombres décimaux arithmétiques,Révision,127792,42271,66.9,2,2,737,737,OK,
01 - Activités Numériques/Chap 05 - Multiplication des nombres décimaux arithmétiques/01 - Cours/Cours - Chap 05 - Multiplication des nombres décimaux arithmétiques.pdf,Numérique,05,Multiplication des nombres décimaux arithmétiques,Cours,179915,57247,68.2,4,4,1157,1157,OK,
01 - Activités Numériques/Chap 05 - Multiplication des nombres décimaux arithmétiques/02 - Exercices/Exercices - Chap 05 - Multiplication des nombres décimaux arithmétiques.pdf,Numérique,05,Multiplication des nombres décimaux arithmétiques,Exercices,122360,35598,70.9,2,2,416,416,OK,
01 - Activités Numériques/Chap 05 - Multiplication des nombres décimaux arithmétiques/03 - Corrections/Corrigé - Chap 05 - Multiplication des nombres décimaux arithmétiques.pdf,Numérique,05,Multiplication des nombres décimaux arithmétiques,Corrigé,134218,47617,64.5,4,4,1043,1043,OK,
01 - Activités Numériques/Chap 05 - Multiplication des nombres décimaux arithmétiques/04 - Révisions/Révision - Chap 05 - Multiplication des nombres décimaux arithmétiques.pdf,Numérique,05,Multiplication des nombres décimaux arithmétiques,Révision,132007,43720,66.9,2,2,728,728,OK,
01 - Activités Numériques/Chap 06 - Division des nombres décimaux arithmétiques/01 - Cours/Cours - Chap 06 - Division des nombres décimaux arithmétiques.pdf,Numérique,06,Division des nombres décimaux arithmétiques,Cours,142043,47053,66.9,4,4,973,973,OK,
01 - Activités Numériques/Chap 06 - Division des nombres décimaux arithmétiques/02 - Exercices/Exercices - Chap 06 - Division des nombres décimaux arithmétiques.pdf,Numérique,06,Division des nombres décimaux arithmétiques,Exercices,124576,35990,71.1,2,2,393,393,OK,
01 - Activités Numériques/Chap 06 - Division des nombres décimaux arithmétiques/03 - Corrections/Corrigé - Chap 06 - Division des nombres décimaux arithmétiques.pdf,Numérique,06,Division des nombres décimaux arithmétiques,Corrigé,144719,49246,66.0,4,4,981,981,OK,
01 - Activités Numériques/Chap 06 - Division des nombres décimaux arithmétiques/04 - Révisions/Révision - Chap 06 - Division des nombres décimaux arithmétiques.pdf,Numérique,06,Division des nombres décimaux arithmétiques,Révision,133457,44890,66.4,2,2,727,727,OK,
01 - Activités Numériques/Chap 07 - Organisation d'un calcul/01 - Cours/Cours - Chap 07 - Organisation d'un calcul.pdf,Numérique,07,Organisation d'un calcul,Cours,161653,49068,69.6,4,4,961,961,OK,
01 - Activités Numériques/Chap 07 - Organisation d'un calcul/02 - Exercices/Exercices - Chap 07 - Organisation d'un calcul.pdf,Numérique,07,Organisation d'un calcul,Exercices,127430,38172,70.0,2,2,545,545,OK,
01 - Activités Numériques/Chap 07 - Organisation d'un calcul/03 - Corrections/Corrigé - Chap 07 - Organisation d'un calcul.pdf,Numérique,07,Organisation d'un calcul,Corrigé,146379,51390,64.9,4,4,1166,1166,OK,
01 - Activités Numériques/Chap 07 - Organisation d'un calcul/04 - Révisions/Révision - Chap 07 - Organisation d'un calcul.pdf,Numérique,07,Organisation d'un calcul,Révision,143033,42573,70.2,2,2,734,734,OK,
01 - Activités Numériques/Chap 08 - Proportionnalité/01 - Cours/Cours - Chap 08 - Proportionnalité.pdf,Numérique,08,Proportionnalité,Cours,176717,46474,73.7,3,3,729,729,OK,
01 - Activités Numériques/Chap 08 - Proportionnalité/02 - Exercices/Exercices - Chap 08 - Proportionnalité.pdf,Numérique,08,Proportionnalité,Exercices,123438,36600,70.3,2,2,535,535,OK,
01 - Activités Numériques/Chap 08 - Proportionnalité/03 - Corrections/Corrigé - Chap 08 - Proportionnalité.pdf,Numérique,08,Proportionnalité,Corrigé,132126,45833,65.3,4,4,996,996,OK,
01 - Activités Numériques/Chap 08 - Proportionnalité/04 - Révisions/Révision - Chap 08 - Proportionnalité.pdf,Numérique,08,Proportionnalité,Révision,149926,45923,69.4,3,3,790,790,OK,
01 - Activités Numériques/Chap 09 - Nombres décimaux relatifs/01 - Cours/Cours - Chap 09 - Nombres décimaux relatifs.pdf,Numérique,09,Nombres décimaux relatifs,Cours,178791,52857,70.4,3,3,870,870,OK,
01 - Activités Numériques/Chap 09 - Nombres décimaux relatifs/02 - Exercices/Exercices - Chap 09 - Nombres décimaux relatifs.pdf,Numérique,09,Nombres décimaux relatifs,Exercices,146754,42363,71.1,3,3,605,605,OK,
01 - Activités Numériques/Chap 09 - Nombres décimaux relatifs/03 - Corrections/Corrigé - Chap 09 - Nombres décimaux relatifs.pdf,Numérique,09,Nombres décimaux relatifs,Corrigé,159579,55610,65.2,4,4,1228,1228,OK,
01 - Activités Numériques/Chap 09 - Nombres décimaux relatifs/04 - Révisions/Révision - Chap 09 - Nombres décimaux relatifs.pdf,Numérique,09,Nombres décimaux relatifs,Révision,163627,46217,71.8,2,2,732,732,OK,
01 - Activités Numériques/Chap 10 - Repérage/01 - Cours/Cours - Chap 10 - Repérage.pdf,Numérique,10,Repérage,Cours,143653,51448,64.2,4,4,963,963,OK,
01 - Activités Numériques/Chap 10 - Repérage/02 - Exercices/Exercices - Chap 10 - Repérage.pdf,Numérique,10,Repérage,Exercices,130234,40807,68.7,2,2,458,458,OK,
01 - Activités Numériques/Chap 10 - Repérage/03 - Corrections/Corrigé - Chap 10 - Repérage.pdf,Numérique,10,Repérage,Corrigé,139308,47730,65.7,3,3,665,665,OK,
01 - Activités Numériques/Chap 10 - Repérage/04 - Révisions/Révision - Chap 10 - Repérage.pdf,Numérique,10,Repérage,Révision,155986,47520,69.5,2,2,703,702,OK,
02 - Activités Géométriques/Chap 01 - Introduction à la géométrie/01 - Cours/Cours - Chap 01 - Introduction à la géométrie.pdf,Géométrique,01,Introduction à la géométrie,Cours,134091,45463,66.1,3,3,791,791,OK,
02 - Activités Géométriques/Chap 01 - Introduction à la géométrie/02 - Exercices/Exercices - Chap 01 - Introduction à la géométrie.pdf,Géométrique,01,Introduction à la géométrie,Exercices,129176,40749,68.5,2,2,525,525,OK,
02 - Activités Géométriques/Chap 01 - Introduction à la géométrie/03 - Corrections/Corrigé - Chap 01 - Introduction à la géométrie.pdf,Géométrique,01,Introduction à la géométrie,Corrigé,141742,52977,62.6,4,4,1134,1134,OK,
02 - Activités Géométriques/Chap 01 - Introduction à la géométrie/04 - Révisions/Révision - Chap 01 - Introduction à la géométrie.pdf,Géométrique,01,Introduction à la géométrie,Révision,133609,45473,66.0,2,2,690,690,OK,
02 - Activités Géométriques/Chap 02 - Le cercle/01 - Cours/Cours - Chap 02 - Le cercle.pdf,Géométrique,02,Le cercle,Cours,135801,48925,64.0,4,4,885,885,OK,
02 - Activités Géométriques/Chap 02 - Le cercle/02 - Exercices/Exercices - Chap 02 - Le cercle.pdf,Géométrique,02,Le cercle,Exercices,126097,37746,70.1,2,2,490,490,OK,
02 - Activités Géométriques/Chap 02 - Le cercle/03 - Corrections/Corrigé - Chap 02 - Le cercle.pdf,Géométrique,02,Le cercle,Corrigé,141630,53290,62.4,4,4,1133,1133,OK,
02 - Activités Géométriques/Chap 02 - Le cercle/04 - Révisions/Révision - Chap 02 - Le cercle.pdf,Géométrique,02,Le cercle,Révision,133301,45663,65.7,2,2,744,744,OK,
02 - Activités Géométriques/Chap 03 - Droites perpendiculaires et droites parallèles/01 - Cours/Cours - Chap 03 - Droites perpendiculaires et droites parallèles.pdf,Géométrique,03,Droites perpendiculaires et droites parallèles,Cours,153615,45162,70.6,4,4,829,829,OK,
02 - Activités Géométriques/Chap 03 - Droites perpendiculaires et droites parallèles/02 - Exercices/Exercices - Chap 03 - Droites perpendiculaires et droites parallèles.pdf,Géométrique,03,Droites perpendiculaires et droites parallèles,Exercices,150297,41608,72.3,3,3,595,595,OK,
02 - Activités Géométriques/Chap 03 - Droites perpendiculaires et droites parallèles/03 - Corrections/Corrigé - Chap 03 - Droites perpendiculaires et droites parallèles.pdf,Géométrique,03,Droites perpendiculaires et droites parallèles,Corrigé,159855,51456,67.8,4,4,1228,1228,OK,
02 - Activités Géométriques/Chap 03 - Droites perpendiculaires et droites parallèles/04 - Révisions/Révision - Chap 03 - Droites perpendiculaires et droites parallèles.pdf,Géométrique,03,Droites perpendiculaires et droites parallèles,Révision,151228,45979,69.6,2,2,738,738,OK,
02 - Activités Géométriques/Chap 04 - Symétrie orthogonale/01 - Cours/Cours - Chap 04 - Symétrie orthogonale.pdf,Géométrique,04,Symétrie orthogonale,Cours,154179,50795,67.1,4,4,942,942,OK,
02 - Activités Géométriques/Chap 04 - Symétrie orthogonale/02 - Exercices/Exercices - Chap 04 - Symétrie orthogonale.pdf,Géométrique,04,Symétrie orthogonale,Exercices,147560,42243,71.4,2,2,608,608,OK,
02 - Activités Géométriques/Chap 04 - Symétrie orthogonale/03 - Corrections/Corrigé - Chap 04 - Symétrie orthogonale.pdf,Géométrique,04,Symétrie orthogonale,Corrigé,163465,57099,65.1,4,4,1318,1318,OK,
02 - Activités Géométriques/Chap 04 - Symétrie orthogonale/04 - Révisions/Révision - Chap 04 - Symétrie orthogonale.pdf,Géométrique,04,Symétrie orthogonale,Révision,138684,46998,66.1,2,2,732,732,OK,
02 - Activités Géométriques/Chap 05 - Les angles/01 - Cours/Cours - Chap 05 - Les angles.pdf,Géométrique,05,Les angles,Cours,171550,51127,70.2,4,4,855,855,OK,
02 - Activités Géométriques/Chap 05 - Les angles/02 - Exercices/Exercices - Chap 05 - Les angles.pdf,Géométrique,05,Les angles,Exercices,158542,40389,74.5,3,3,526,526,OK,
02 - Activités Géométriques/Chap 05 - Les angles/03 - Corrections/Corrigé - Chap 05 - Les angles.pdf,Géométrique,05,Les angles,Corrigé,173356,53799,69.0,4,4,1101,1101,OK,
02 - Activités Géométriques/Chap 05 - Les angles/04 - Révisions/Révision - Chap 05 - Les angles.pdf,Géométrique,05,Les angles,Révision,164662,47105,71.4,2,2,694,694,OK,
