chemin_source,classe,matiere,strate,chapitre_numero,chapitre_titre,type_document,taille_octets,statut
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\01 - Activités Numériques\Chap 01 - Nombres décimaux arithmétiques\01 - Cours\Cours - Chap 01 - Nombres décimaux arithmétiques.pdf,6e,Mathematiques,Numérique,01,Nombres décimaux arithmétiques,Cours,160174,gratuit
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\01 - Activités Numériques\Chap 01 - Nombres décimaux arithmétiques\01 - Cours\Méthodes - Chap 01 - Nombres décimaux arithmétiques.pdf,6e,Mathematiques,Numérique,01,Nombres décimaux arithmétiques,Méthodes,148411,gratuit
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\01 - Activités Numériques\Chap 01 - Nombres décimaux arithmétiques\02 - Exercices\Exercices - Chap 01 - Nombres décimaux arithmétiques.pdf,6e,Mathematiques,Numérique,01,Nombres décimaux arithmétiques,Exercices,123936,gratuit
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\01 - Activités Numériques\Chap 01 - Nombres décimaux arithmétiques\03 - Corrections\Corrigé - Chap 01 - Nombres décimaux arithmétiques.pdf,6e,Mathematiques,Numérique,01,Nombres décimaux arithmétiques,Corrigé,137868,premium
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\01 - Activités Numériques\Chap 01 - Nombres décimaux arithmétiques\04 - Révisions\Révision - Chap 01 - Nombres décimaux arithmétiques.pdf,6e,Mathematiques,Numérique,01,Nombres décimaux arithmétiques,Révision,152079,gratuit
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\01 - Activités Numériques\Chap 02 - Addition des nombres décimaux arithmétiques\01 - Cours\Cours - Chap 02 - Addition des nombres décimaux arithmétiques.pdf,6e,Mathematiques,Numérique,02,Addition des nombres décimaux arithmétiques,Cours,175269,gratuit
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\01 - Activités Numériques\Chap 02 - Addition des nombres décimaux arithmétiques\02 - Exercices\Exercices - Chap 02 - Addition des nombres décimaux arithmétiques.pdf,6e,Mathematiques,Numérique,02,Addition des nombres décimaux arithmétiques,Exercices,119320,gratuit
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\01 - Activités Numériques\Chap 02 - Addition des nombres décimaux arithmétiques\03 - Corrections\Corrigé - Chap 02 - Addition des nombres décimaux arithmétiques.pdf,6e,Mathematiques,Numérique,02,Addition des nombres décimaux arithmétiques,Corrigé,142559,premium
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\01 - Activités Numériques\Chap 02 - Addition des nombres décimaux arithmétiques\04 - Révisions\Révision - Chap 02 - Addition des nombres décimaux arithmétiques.pdf,6e,Mathematiques,Numérique,02,Addition des nombres décimaux arithmétiques,Révision,130751,gratuit
C:\Users\DELL\OneDrive\Desktop\00 - DOCS PERSONNELS & PROJETS\P01- FAYEMATH ACADEMY\03 - CONTENU PÉDAGOGIQUE\COLLEGE\6e - Maths\01 - Activités Numériques\Chap 03 - Soustraction des nombres décimaux arithmétiques\01 - Cours\Cours - Chap 03 - Soustraction des nombres décimaux arithmétiques.pdf,6e,Mathematiques,Numérique,03,Soustraction des nombres décimaux arithmétiques,Cours,191751,gratuit
